ID;Identifiant Autolib';Rue;Code postal;Ville;Coordonnées geo;Emplacement;Autolib';Tiers;Abri
92004-21;Asnières-sur-Seine/Henri Poincaré/53;53 rue Henri Poincaré;92600;Asnières-sur-Seine;48.931734, 2.2805721;Voirie;0;0;0
92007-02;Bagneux/René Cros/65;65 Rue René Cros;92220;Bagneux;48.79932, 2.304576;Voirie;6;0;0
92007-03;Bagneux/Verdun/127;127 rue de Verdun;92220;Bagneux;48.8019167, 2.321829;Voirie;6;0;0
92007-06;Bagneux/Henri Barbusse/43;43 Avenue Henri Barbusse;92220;Bagneux;48.8018111, 2.3157545;Voirie;6;0;1
92007-10;Bagneux/Albert Petit/89;89 Avenue Albert Petit;92220;Bagneux;48.7962, 2.319759;Voirie;6;0;0
92007-13;Bagneux/Mathurins/2;2 rue des Mathurins;92220;Bagneux;48.7920857, 2.3065992;Voirie;6;0;0
92012-11;Boulogne-Billancourt/Jean Jaurès/61;61 Boulevard Jean Jaurès;92100;Boulogne-Billancourt;48.83975, 2.2400622;Voirie;6;0;0
92012-30;Boulogne-Billancourt/Reine/12;12 bis Route de la Reine;92100;Boulogne-Billancourt;48.8388074, 2.2505008;Voirie;6;0;0
92019-04;Châtenay-Malabry/Division Leclerc/81;81 Avenue de la Division Leclerc;92290;Châtenay-Malabry;48.7622887, 2.2838864;Voirie;6;0;0
92019-07;Châtenay-Malabry/Cyrano de Bergerac/6;6 Place Cyrano de Bergerac;92290;Châtenay-Malabry;48.768495, 2.250599;Voirie;6;0;0
92020-01;Châtillon/Stalingrad/5;5 boulevard de Stalingrad;92320;Châtillon;48.8111362, 2.298583;Voirie;5;0;0
92020-04;Châtillon/Paris/21;21 avenue de Paris;92320;Châtillon;48.8048765, 2.2898962;Voirie;6;0;0
92020-05;Châtillon/Liberté/100;100 boulevard de la LIberté;92320;Châtillon;48.798768, 2.294377;Voirie;7;0;0
92020-08;Châtillon/Verdun/76;76 avenue de Verdun;92320;Châtillon;48.79988, 2.281576;Voirie;6;0;0
92023-01;Clamart/Victor Hugo/40;40 Avenue Victor Hugo;92140;Clamart;48.804098, 2.2673976;Voirie;7;0;0
92023-02;Clamart/Jean Jaurès/137;137 avenue Jean Jaurès;92140;Clamart;48.8080853, 2.2679023;Voirie;5;0;0
92025-16;Colombes/Victor Hugo/42;42 Rue Victor Hugo;92700;Colombes;48.92087, 2.264111;Voirie;6;0;0
