"url";"name";"type";"address";"gps"
"http://www.restopolitan.com/en/restaurant/la-varenne-st-hilaire-1293/bamboo-bar-300881.html";"Bamboo Bar";"French";"21 rue Saint Hilaire, 94210 La Varenne St Hilaire";NA
"http://www.restopolitan.com/en/restaurant/paris-9eme-455/restaurant-sannine-302988.html";"Restaurant Sannine";"Lebanese";"32, rue du Faubourg Montmartre, 75009 ,Paris";"48.8738762/2.3426514"
"http://www.restopolitan.com/en/restaurant/les-clayes-sous-bois-1434/la-ferme-de-diane-304121.html";"La Ferme de Diane";"French";"10, rue Henri Prou, 78340 Les Clayes Sous Bois";"48.8212992/1.9743109"
"http://www.restopolitan.com/en/restaurant/paris-15eme-461/restaurant-anooshey-301489.html";"Restaurant Anooshey";"Indian";"214, rue de la Croix Nivert, 75015 ,Paris";"48.8369701/2.2893896"
"http://www.restopolitan.com/en/restaurant/paris-17eme-463/el-picador-304453.html";"El Picador";"Spanish";"80, boulevard des Batignolles, 75017 ,Paris";"48.8819442/2.318691"
"http://www.restopolitan.com/en/restaurant/montrouge-376/l-auberge-calabraise-301423.html";"L'Auberge Calabraise";"Bistrot Gourmand";"65, avenue Aristide Briand, 92120 Montrouge";"48.8168074/2.3258449"
"http://www.restopolitan.com/en/restaurant/paris-1er-447/nodaiwa-48523.html";"Nodaiwa";"Japanese";"272, rue Saint Honoré, 75001 ,Paris";"48.8643669/2.3332403"
"http://www.restopolitan.com/en/restaurant/paris-9eme-455/la-table-des-anges-300178.html";"La Table des Anges";"French";"66, rue des Martyrs, 75009 ,Paris";"48.8810738/2.3401647"
"http://www.restopolitan.com/en/restaurant/boulogne-billancourt-374/86-cote-studios-304112.html";"86 Côté Studios";"Bistrot Gourmand";"86, avenue Jean-Baptiste Clément, 92100 Boulogne Billancourt";"48.8466335/2.2387493"
"http://www.restopolitan.com/en/restaurant/paris-14eme-460/monteleone-304116.html";"Monteleone";"Gastronomic";"68 Bis, avenue Jean Moulin, 75014 ,Paris";"48.8250198/2.3200783"
"http://www.restopolitan.com/en/restaurant/puteaux-416/uni-301255.html";"Uni";"Japanese";"8 square Léon Blum, 92800 Puteaux";"48.8832223/2.2468482"
"http://www.restopolitan.com/en/restaurant/paris-14eme-460/kyo-montparnasse-304019.html";"Kyo Montparnasse";"Japanese";"2, rue de la Gaité, 75014 ,Paris";"48.8409495/2.3245048"
"http://www.restopolitan.com/en/restaurant/paris-7eme-453/da-zagara-303613.html";"Da Zagara";"Italian";"37, avenue Duquesne, 75007 ,Paris";"48.8515887/2.3106463"
"http://www.restopolitan.com/en/restaurant/paris-8eme-454/kok-ping-300476.html";"Kok Ping";"Chinese";"4, rue Balzac, 75008 ,Paris";"48.8730881/2.3001767"
"http://www.restopolitan.com/en/restaurant/montrouge-376/tartines-et-petits-plats-303928.html";"Tartines et Petits Plats";"French";"10, rue Delerue, 92120 Montrouge";"48.8197193/2.3223837"
"http://www.restopolitan.com/en/restaurant/paris-5eme-451/au-doux-raisin-300305.html";"Au Doux Raisin";"Bistrot Gourmand";"29, rue Descartes, 75005 ,Paris";"48.8458176/2.3491984"
"http://www.restopolitan.com/en/restaurant/paris-8eme-454/terres-de-truffes-paris-300636.html";"Terres de Truffes Paris";"Gastronomic";"21, rue Vignon, 75008 ,Paris";"48.8715946/2.3262057"
"http://www.restopolitan.com/en/restaurant/paris-9eme-455/l-inattendu-304272.html";"L'Inattendu";"Bistrot Gourmand";"9 bis, rue Jean-Baptiste Pigalle, 75009 ,Paris";"48.880076/2.3345281"
"http://www.restopolitan.com/en/restaurant/paris-16eme-462/le-bistro-de-longchamp-302123.html";"Le Bistro de Longchamp";"French";"40, rue de Longchamp, 75016 ,Paris";NA
"http://www.restopolitan.com/en/restaurant/paris-16eme-462/meme-en-reve-303509.html";"Même en Rêve";"French";"11 avenue de Versailles, 75016 ,Paris";"48.8505116/2.2774121"
"http://www.restopolitan.com/en/restaurant/paris-1er-447/le-samsar-300256.html";"Le Samsar";"Organic";"33 bis, rue des Bourdonnais, 75001 ,Paris";"48.8600861/2.3452176"
"http://www.restopolitan.com/en/restaurant/paris-11eme-457/crepito-303948.html";"Crépito";"French";"170, avenue Ledru Rollin, 75011 ,Paris";"48.8570099/2.3796088"
"http://www.restopolitan.com/en/restaurant/paris-8eme-454/citrus-etoile-304171.html";"Citrus Etoile";"Gastronomic";"6, rue Arsène Houssaye, 75008 ,Paris";NA
"http://www.restopolitan.com/en/restaurant/paris-20eme-466/au-fond-du-jardin-302835.html";"Au Fond du Jardin";"Bistrot Gourmand";"39, rue Pelleport, 75020 ,Paris";"48.8640907/2.40406683868483"
"http://www.restopolitan.com/en/restaurant/paris-4eme-450/les-sommets-de-l-himalaya-304360.html";"Les Sommets de l'Himalaya";"Indian";"73, rue Saint Martin, 75004 ,Paris";"48.8594199/2.3504365"
"http://www.restopolitan.com/en/restaurant/issy-les-moulineaux-377/o-30-303880.html";"Ô 30";"Bistrot Gourmand";"30, avenue du Bas Meudon, 92130 Issy Les Moulineaux";"48.8223704/2.2460014"
"http://www.restopolitan.com/en/restaurant/paris-6eme-452/royal-raj-mahal-303991.html";"Royal Raj Mahal";"Indian";"41, rue Dauphine, 75006 ,Paris";"48.8544305/2.3391655"
"http://www.restopolitan.com/en/restaurant/paris-5eme-451/le-comptoir-du-5eme-304005.html";"Le Comptoir du 5ème";"Bistrot Gourmand";"1, rue des Grands Degrés, 75005 ,Paris";"48.8512283/2.3500672"
"http://www.restopolitan.com/en/restaurant/paris-11eme-457/l-atelier-des-artistes-304113.html";"L'Atelier des Artistes";"Bistrot Gourmand";"4, rue Rampon, 75011 ,Paris";"48.8661179/2.3669515"
"http://www.restopolitan.com/en/restaurant/paris-5eme-451/antinea-300224.html";"Antinea";"Italian";"18 rue Maître Albert, 75005 ,Paris";"48.8504809/2.3494629"
"http://www.restopolitan.com/en/restaurant/paris-3eme-449/shake-n-smash-304611.html";"Shake N'Smash";"French";"87, rue Turbigo, 75003 ,Paris";NA
"http://www.restopolitan.com/en/restaurant/paris-16eme-462/chez-prunier-301516.html";"Chez Prunier";"Gastronomic";"16, avenue Victor Hugo, 75016 ,Paris";NA
"http://www.restopolitan.com/en/restaurant/saint-mande-1289/le-loft-saint-mande-301030.html";"Le Loft - Saint Mandé";"Kosher";"80, avenue du Général de Gaulle, 94160 Saint Mande";"48.8402597/2.4174746"
"http://www.restopolitan.com/en/restaurant/paris-14eme-460/millesimes-62-304214.html";"Millésimes 62";"Gastronomic";"13-15, place de Catalogne, 75014 ,Paris";"48.8369069/2.3185026"
"http://www.restopolitan.com/en/restaurant/paris-16eme-462/le-spontini-303485.html";"Le Spontini";"French";"11, rue Spontini, 75016 ,Paris";NA
"http://www.restopolitan.com/en/restaurant/asnieres-sur-seine-413/antheor-restaurant-304057.html";"Antheor Restaurant";"French";"Face au 73, quai du Docteur Dervaux, 92600 Asnières Sur Seine";NA
"http://www.restopolitan.com/en/restaurant/paris-9eme-455/la-cantine-marocaine-302013.html";"La Cantine Marocaine";"Moroccan";"23, rue Richer, 75009 ,Paris";"48.8739915/2.3457171"
"http://www.restopolitan.com/en/restaurant/issy-les-moulineaux-377/le-relais-de-baviere-301388.html";"Le Relais de Bavière";"Bistrot Gourmand";"27, rue Danton, 92130 Issy Les Moulineaux";"48.824574/2.270626"
"http://www.restopolitan.com/en/restaurant/paris-17eme-463/l-aperock-304207.html";"L'ApéRock";"French";"7, rue Bayen, 75017 ,Paris";"48.8788007/2.2955088"
"http://www.restopolitan.com/en/restaurant/paris-8eme-454/la-belle-venise-301288.html";"La Belle Venise";"Italian";"3, rue de l'Isly, 75008 ,Paris";"48.8747624/2.3261131"
"http://www.restopolitan.com/en/restaurant/paris-5eme-451/le-reminet-303962.html";"Le Reminet";"Bistrot Gourmand";"3, rue des Grands Degrés, 75005 ,Paris";"48.8512497/2.3499876"
"http://www.restopolitan.com/en/restaurant/provins-587/l-osteria-303374.html";"L'Osteria";"Bistrot Gourmand";"6 Place Honoré de Balzac, 77160 Provins";NA
"http://www.restopolitan.com/en/restaurant/paris-6eme-452/indonesia-304007.html";"Indonesia";"World Food";"12, rue de Vaugirard, 75006 ,Paris";"48.8490807/2.3395938"
"http://www.restopolitan.com/en/restaurant/paris-9eme-455/le-9eme-ciel-art-resto-300448.html";"Le 9ème Ciel - Art Resto";"Italian";"67, rue de Rochechouart, 75009 ,Paris";"48.8808509/2.3463443"
"http://www.restopolitan.com/en/restaurant/paris-11eme-457/le-dix-hotel-crowne-plaza-303930.html";"Le Dix - Hôtel Crowne Plaza";"Gastronomic";"10, place de la République, 75011 ,Paris";"48.8676678/2.3648141"
"http://www.restopolitan.com/en/restaurant/bonneuil-sur-marne-1311/la-marmite-300929.html";"La Marmite";"French";"77, avenue de ,Paris";"48.7359121/1.3710486"
"http://www.restopolitan.com/en/restaurant/jouars-pontchartrain-1558/le-bistro-gourmand-jouars-302638.html";"Le Bistro Gourmand - Jouars";"Bistrot Gourmand";"7, route du Pontel, 78760 Jouars Pontchartrain";NA
