"url";"name";"address";"district";"gps"
"http://www.paris-soiree.fr/discotheque-le_maxim__s-38";"Le Maxim' s";"3 rue Royale";8;"48.8673013/2.322251"
"http://www.paris-soiree.fr/discotheque-les_planches-37";"Les Planches";"40 rue du Colisée";8;"48.8716384/2.3109127"
"http://www.paris-soiree.fr/discotheque-le_showcase-36";"Le Showcase";"Port des Champs Elysées";8;"48.8642094/2.31355191387938"
"http://www.paris-soiree.fr/discotheque-l_asian-34";"L'Asian";"30 avenue George V";8;"48.8681112/2.3014721"
"http://www.paris-soiree.fr/discotheque-ice_baar-33";"Ice Baar";"41 rue Marbeuf";8;"48.8697978/2.3056017"
"http://www.paris-soiree.fr/discotheque-le_hustler_club-32";"Le Hustler Club";"15 rue de Berri";8;"48.8725641/2.3042711"
"http://www.paris-soiree.fr/discotheque-grand_palais-31";"Grand Palais";"Avenue Winston Churchill";8;"48.8675162/2.3139892"
"http://www.paris-soiree.fr/discotheque-le_1515-18";"Le 1515";"34 rue Marbeuf";8;"48.8694316/2.3052163"
"http://www.paris-soiree.fr/discotheque-le_culture_hall-194";"Le Culture Hall";"8 boulevard de la Madeleine";9;"48.8699519/2.3268245"
"http://www.paris-soiree.fr/discotheque-bar_club_cafe_grevin-353";"Bar Club Cafe Grevin";"8 Boulevard Montmartre 75009 PARIS";9;"48.8717873/2.342236"
"http://www.paris-soiree.fr/discotheque-pirat_tavern_-297";"Pirat'Tavern";"63 rue Jean Baptiste Pigalle";9;"48.8811334/2.3359474"
"http://www.paris-soiree.fr/discotheque-le_vogue_-298";"Le Vogue";"25 boulevard Poissonnière";9;"48.8711993/2.3438593"
"http://www.paris-soiree.fr/discotheque-le_moloko-299";"Le Moloko";"26 rue Fontaine";9;"48.8139614/2.4508449"
"http://www.paris-soiree.fr/discotheque-le_depanneur_lounge_-300";"Le dépanneur lounge";"27 rue pierre fontaine";9;"48.8824435/2.3334001"
"http://www.paris-soiree.fr/discotheque-louna_park_cafe_-301";"Louna park Café";"75 bis boulevard de Clichy";9;"48.8824814/2.3376853"
"http://www.paris-soiree.fr/discotheque-cockney_tavern_pub_de_montmartre-302";"Cockney Tavern'Pub de Montmartre";"39, boulevard Clichy";9;"48.8995516/2.3052237"
"http://www.paris-soiree.fr/discotheque-l_embuscade_-303";"L'embuscade";"47 rue de La Rochefoucauld";9;"48.8800651/2.3351358"
"http://www.paris-soiree.fr/discotheque-theatre_mogador-315";"Théatre Mogador";"25 rue de Mogador";9;"48.8753635/2.3312348"
"http://www.paris-soiree.fr/discotheque-le_clipperton-309";"Le Clipperton";"4, rue Rougemont";9;"48.8714583/2.3459325"
"http://www.paris-soiree.fr/discotheque-le_club_haussman-197";"Le Club Haussman";"23 rue Taitbout";9;"48.8731241/2.3352724"
"http://www.paris-soiree.fr/discotheque-salons_des_miroirs-112";"Salons des Miroirs";"13 passage Jouffroy";9;"48.8718388/2.3419187"
"http://www.paris-soiree.fr/discotheque-barramundi-102";"Barramundi";"3, rue Taitbout";9;"48.8719458/2.3362366"
"http://www.paris-soiree.fr/discotheque-bus_palladium-103";"Bus Palladium";"6 rue pierre fontaine";9;"48.8807709/2.3349113"
"http://www.paris-soiree.fr/discotheque-cafe_carmen-104";"Café Carmen";"34 Rue Duperré";9;"48.8820437/2.3342164"
"http://www.paris-soiree.fr/discotheque-casino_de_paris-105";"Casino de Paris";"16 rue de Clichy";9;"48.8783731/2.3300574"
"http://www.paris-soiree.fr/discotheque-chez_moune-106";"Chez Moune";"54 rue Jean Baptiste Pigalle";9;"48.8809872/2.3359307"
"http://www.paris-soiree.fr/discotheque-folie_s_pigalle-107";"Folie's Pigalle";"11 place Pigalle";9;"48.8820095/2.3369546"
"http://www.paris-soiree.fr/discotheque-hammam_club-108";"Hammam Club";"94 rue d'Amsterdam";9;"48.8822945/2.327206"
"http://www.paris-soiree.fr/discotheque-hard_rock_cafe_-109";"Hard Rock Café";"14 boulevard Montmartre";9;"48.8718967/2.3415625"
"http://www.paris-soiree.fr/discotheque-olympia-110";"Olympia";"28 boulevard des Capucines";9;"48.8702443/2.3283595"
"http://www.paris-soiree.fr/discotheque-le_palace_privilege-316";"Le Palace Privilege";"8 rue du Faubourg Montmartre";9;"48.8721515/2.3432919"
"http://www.paris-soiree.fr/discotheque-l_alhambra-113";"L'Alhambra";"21 rue Yves Toudic";10;"48.8706469/2.3630889"
"http://www.paris-soiree.fr/discotheque-bizz_art_club-305";"Bizz'art Club";"167 quai de Valmy";10;"48.8790612/2.3664752"
"http://www.paris-soiree.fr/discotheque-zoco_bar_-304";"Zoco bar";"22 avenue Claude Vellfaux";10;NA
"http://www.paris-soiree.fr/discotheque-tapis_rouge-125";"Tapis Rouge";"67 rue du Faubourg Saint-Martin";10;"48.8719729/2.3571654"
"http://www.paris-soiree.fr/discotheque-point_ephemere_-124";"Point Ephémère";"200 quai de Valmy";10;"48.8815009/2.3685984"
"http://www.paris-soiree.fr/discotheque-new_morning-123";"New Morning";"7 rue des Petites Ecuries";10;"48.8730035/2.3534809"
"http://www.paris-soiree.fr/discotheque-la_tipica-122";"La Tipica";"151 quai de Valmy";10;"48.8778875/2.3654632"
"http://www.paris-soiree.fr/discotheque-l_etage-120";"L'Etage";"77 rue du Faubourg du Temple";10;"48.8702055/2.3714742"
"http://www.paris-soiree.fr/discotheque-globo-119";"Globo";"8 boulevard de Strasbourg";10;"48.8701408/2.3549354"
"http://www.paris-soiree.fr/discotheque-espace_jemmapes-118";"Espace Jemmapes";"116 quai de Jemmapes";10;"48.8748543/2.3637888"
"http://www.paris-soiree.fr/discotheque-delaville_cafe-117";"Delaville Café";"34 boulevard Bonne Nouvelle";10;"48.8670566/2.350124943523"
"http://www.paris-soiree.fr/discotheque-comedy_club-116";"Comedy Club";"42, boulevard Bonne Nouvelle";10;NA
"http://www.paris-soiree.fr/discotheque-cafe_a-115";"Café A";"148-154, rue du Faubourg Saint Martin";10;"48.8733171/2.358063"
"http://www.paris-soiree.fr/discotheque-le_bizz_art-114";"Le Bizz Art";"167 quai de Valmy";10;"48.8790612/2.3664752"
"http://www.paris-soiree.fr/discotheque-la_java_-306";"La Java";"105 rue Fbg du Temple";10;NA
"http://www.paris-soiree.fr/discotheque-l_alimentation_generale_-126";"L'Alimentation Générale";"64 rue Jean Pierre Timbaud";11;"48.8667946/2.37435"
"http://www.paris-soiree.fr/discotheque-l_entre_potes-259";"L'entre-potes";"14 rue Charonne";11;"48.8562189/2.40489475344955"
"http://www.paris-soiree.fr/discotheque-cithea-260";"Cithéa";"114 rue Oberkampf";11;"48.8659834/2.3791601"
"http://www.paris-soiree.fr/discotheque-le_2_steps_cafe-262";"Le 2 Steps Café";"117 rue Saint Maur";11;"48.8662965/2.3766716"
"http://www.paris-soiree.fr/discotheque-la_merenda-264";"La merenda";"32 rue Charonne";11;"48.8562189/2.40489475344955"
"http://www.paris-soiree.fr/discotheque-satellit_cafe-265";"Satellit café";"44 rue Folie Méricourt";11;"48.86737955/2.37342304122208"
"http://www.paris-soiree.fr/discotheque-le_carbet-267";"Le carbet";"115 rue saint-maur";11;"48.8661234/2.3768209"
"http://www.paris-soiree.fr/discotheque-le_bar_sans_nom-270";"Le bar sans nom";"49 rue Lappe";11;"48.8537325/2.3726362"
"http://www.paris-soiree.fr/discotheque-le_petit_baiona-271";"Le petit baiona";"90 rue de Charonne";11;"48.8537814/2.381805"
"http://www.paris-soiree.fr/discotheque-le_sanz_sans-272";"Le Sanz Sans";"49 rue Faubourg St Antoine";11;"46.3123636/4.8353959"
"http://www.paris-soiree.fr/discotheque-le_trucmush-273";"Le trucmush";"5 passage Thiéré";11;"48.8535364/2.3745159"
"http://www.paris-soiree.fr/discotheque-le_zero_zero-275";"Le zero zero";"89 rue Amelot";11;"48.8604793/2.3678362"
"http://www.paris-soiree.fr/discotheque-les_furieux-277";"Les furieux";"74 rue Roquette";11;"48.85730505/2.38121525761783"
"http://www.paris-soiree.fr/discotheque-megalo_bar-279";"Megalo bar";"6 rue Lappe";11;"48.8537325/2.3726362"
"http://www.paris-soiree.fr/discotheque-l_objectif_lune-292";"L'objectif lune";"19 rue Roquette";11;"48.85730505/2.38121525761783"
"http://www.paris-soiree.fr/discotheque-pop_in-295";"Pop in";"105 rue Amelot";11;"48.8614116/2.3675537"
"http://www.paris-soiree.fr/discotheque-que_pasa-296";"Que pasa";"3 rue Lappe";11;"48.8537325/2.3726362"
"http://www.paris-soiree.fr/discotheque-caveau_du_sister_may_-308";"Caveau du Sister may";"25 rue Lappe";11;NA
"http://www.paris-soiree.fr/discotheque-la_caravane-257";"La caravane";"35 rue Fontaine au Roi";11;NA
"http://www.paris-soiree.fr/discotheque-cuba_compagnie_cafe__bastille_-201";"Cuba Compagnie Café (Bastille)";"48, boulevard Beaumarchais";11;"48.8571393/2.3684264"
